timestamp,gx,gy,gz,ax,ay,az
0.000000,-0.003796,0.008421,0.002313,-0.000000,-0.000000,9.810000
0.019745,-0.008159,0.006240,0.004494,-0.000000,-0.000000,9.810000
0.039858,0.050745,-0.137750,-0.006414,-0.000000,-0.000000,9.810000
0.059932,0.120559,0.455662,0.356833,-0.000000,-0.000000,9.810000
0.079990,0.711789,1.081799,0.952426,-0.000000,-0.000000,9.810000
0.100053,-0.144513,0.415301,0.846616,-0.000000,-0.000000,9.810000
0.120195,-0.281958,-0.016668,0.769167,-0.000000,-0.000000,9.810000
0.140262,0.170737,0.092415,-0.022777,-0.000000,-0.000000,9.810000
0.160326,0.035474,-0.016668,-0.320573,-0.000000,-0.000000,9.810000
0.180557,0.030020,-0.079936,0.003403,-0.000000,-0.000000,9.810000
0.200521,-0.094335,-0.029758,0.199753,-0.000000,-0.000000,9.810000
0.220654,-0.023431,0.024784,-0.003142,-0.000000,-0.000000,9.810000
0.240770,0.032201,0.026965,-0.059865,-0.000000,-0.000000,9.810000
0.260868,0.006021,0.012785,0.041582,-0.000000,-0.000000,9.810000
0.280911,0.001658,-0.002487,-0.050047,-0.000000,-0.000000,9.810000
0.300993,-0.010341,-0.000305,-0.055501,-0.000000,-0.000000,9.810000
0.321043,0.021293,-0.016668,0.060127,-0.000000,-0.000000,9.810000
0.341173,0.013657,0.046600,0.018675,-0.000000,-0.000000,9.810000
0.361308,0.004931,-0.030849,-0.026049,-0.000000,-0.000000,9.810000
0.381399,-0.001614,-0.010123,-0.005323,-0.000000,-0.000000,9.810000
0.401501,0.021293,0.033510,-0.018413,-0.000000,-0.000000,9.810000
0.421610,-0.021249,-0.062483,-0.026049,-0.000000,-0.000000,9.810000
0.441692,-0.002705,-0.034121,0.008858,-0.000000,-0.000000,9.810000
0.461742,0.023475,0.029147,0.016493,-0.000000,-0.000000,9.810000
0.481825,0.028929,0.002967,0.020857,-0.000000,-0.000000,9.810000
0.501920,-0.016886,-0.084299,-0.019504,-0.000000,-0.000000,9.810000
0.522028,-0.026704,-0.006850,-0.054411,-0.000000,-0.000000,9.810000
0.542115,-0.045248,0.001876,0.001222,-0.000000,-0.000000,9.810000
0.562223,0.030020,0.019330,0.032856,-0.000000,-0.000000,9.810000
0.582329,0.036565,0.043328,0.001222,-0.000000,-0.000000,9.810000
0.602556,-0.022340,0.031329,0.061217,-0.000000,-0.000000,9.810000
0.622583,-0.010341,0.074962,-0.009687,-0.000000,-0.000000,9.810000
0.642633,0.010385,0.042237,-0.044593,-0.000000,-0.000000,9.810000
0.662743,0.012566,-0.023213,0.045946,-0.000000,-0.000000,9.810000
0.682843,0.002749,0.028056,-0.036957,-0.000000,-0.000000,9.810000
0.702924,-0.001614,-0.022122,0.030674,-0.000000,-0.000000,9.810000
0.722984,-0.027794,0.059690,0.005585,-0.000000,-0.000000,9.810000
0.743080,-0.020159,0.009512,-0.007505,-0.000000,-0.000000,9.810000
0.763168,0.045291,-0.067937,0.038310,-0.000000,-0.000000,9.810000
0.783356,0.046382,-0.031940,-0.054411,-0.000000,-0.000000,9.810000
0.803356,-0.043066,0.024784,0.035037,-0.000000,-0.000000,9.810000
0.823504,-0.021249,0.006240,0.015403,-0.000000,-0.000000,9.810000
0.843597,0.019111,-0.003578,-0.029322,-0.000000,-0.000000,9.810000
0.863641,0.010385,0.001876,0.038310,-0.000000,-0.000000,9.810000
0.883672,0.011476,-0.005760,0.035037,-0.000000,-0.000000,9.810000
0.903747,0.067108,-0.011214,0.042673,-0.000000,-0.000000,9.810000
0.923898,-0.000524,0.025875,-0.005323,-0.000000,-0.000000,9.810000
