timestamp,gx,gy,gz,ax,ay,az
0.000000,0.003840,0.046600,0.001222,-0.000000,-0.000000,9.810000
0.033836,0.001658,0.004058,0.004494,-0.000000,-0.000000,9.810000
0.045957,-0.026704,0.008421,0.008858,-0.000000,-0.000000,9.810000
0.061027,0.347451,-0.293739,0.014312,-0.000000,-0.000000,9.810000
0.081134,2.000000,-1.289667,0.295746,-0.000000,-0.000000,9.810000
0.101227,0.475079,0.947627,0.795347,-0.000000,-0.000000,9.810000
0.121323,0.853597,-0.475908,0.387376,-0.000000,-0.000000,9.810000
0.141498,0.159829,-0.203200,0.008858,-0.000000,-0.000000,9.810000
0.161557,-0.028885,0.020420,-0.110043,-0.000000,-0.000000,9.810000
0.183472,-0.142332,-0.181383,-0.041321,-0.000000,-0.000000,9.810000
0.202473,-0.083427,-0.048302,-0.093681,-0.000000,-0.000000,9.810000
0.222594,0.061654,0.029147,-0.107861,-0.000000,-0.000000,9.810000
0.243629,0.022384,-0.036303,0.043764,-0.000000,-0.000000,9.810000
0.263919,-0.077973,0.030238,0.008858,-0.000000,-0.000000,9.810000
0.282741,0.011476,-0.011214,-0.002051,-0.000000,-0.000000,9.810000
0.302233,0.030020,0.010603,0.004494,-0.000000,-0.000000,9.810000
0.322573,-0.008159,-0.040666,-0.031503,-0.000000,-0.000000,9.810000
0.342590,0.020202,-0.038485,0.008858,-0.000000,-0.000000,9.810000
0.362636,0.007112,0.106596,0.005585,-0.000000,-0.000000,9.810000
0.382578,-0.039794,0.025875,-0.016232,-0.000000,-0.000000,9.810000
0.402703,0.021293,0.017148,0.023038,-0.000000,-0.000000,9.810000
0.422771,0.040928,-0.046120,-0.027140,-0.000000,-0.000000,9.810000
0.442948,-0.052883,-0.082118,-0.011868,-0.000000,-0.000000,9.810000
0.462942,0.018021,0.105505,0.027402,-0.000000,-0.000000,9.810000
0.483026,0.028929,0.045509,-0.005323,-0.000000,-0.000000,9.810000
0.507682,-0.036521,-0.055938,-0.007505,-0.000000,-0.000000,9.810000
0.524768,0.023475,0.048782,0.017584,-0.000000,-0.000000,9.810000
0.543417,0.061654,0.020420,0.028492,-0.000000,-0.000000,9.810000
