time_s,phase,amp_rad,freq_hz,motor_idx,signal,command_rad,actual_rad,actual_vel
0.0,0.12566370614359174,0.3,1.0,7,0.12533323356430426,0.03759997006929128,-7.015466690063477e-05,0.0015919292345643044
0.02,0.25132741228718347,0.3,1.0,7,0.2486898871648548,0.07460696614945643,-6.777048110961914e-05,0.00046713792835362256
0.04,0.3769911184307752,0.3,1.0,7,0.368124552684678,0.11043736580540339,-6.747245788574219e-05,0.0009116310975514352
0.06,0.5026548245743669,0.3,1.0,7,0.4817536741017153,0.1445261022305146,0.00198519229888916,1.0249634981155396
0.08,0.6283185307179586,0.3,1.0,7,0.5877852522924731,0.17633557568774194,0.029860496520996094,1.7769240140914917
0.1,0.7539822368615503,0.3,1.0,7,0.6845471059286886,0.20536413177860657,0.06487017869949341,1.9116554260253906
0.12000000000000001,0.879645943005142,0.3,1.0,7,0.7705132427757891,0.23115397283273673,0.10078179836273193,1.8873549699783325
0.14,1.0053096491487337,0.3,1.0,7,0.844327925502015,0.2532983776506045,0.1353495717048645,1.7812211513519287
0.16,1.1309733552923253,0.3,1.0,7,0.9048270524660195,0.2714481157398058,0.1677071452140808,1.6462070941925049
0.18,1.256637061435917,0.3,1.0,7,0.9510565162951535,0.285316954888546,0.19739240407943726,1.487338900566101
0.19999999999999998,1.3823007675795087,0.3,1.0,7,0.9822872507286886,0.29468617521860657,0.22396057844161987,1.3054279088974
0.21999999999999997,1.5079644737231004,0.3,1.0,7,0.9980267284282716,0.2994080185284815,0.24699550867080688,1.1029269695281982
0.23999999999999996,1.633628179866692,0.3,1.0,7,0.9980267284282716,0.2994080185284815,0.2661338448524475,0.8831510543823242
0.25999999999999995,1.7592918860102837,0.3,1.0,7,0.9822872507286887,0.2946861752186066,0.28107601404190063,0.6494531035423279
0.27999999999999997,1.8849555921538754,0.3,1.0,7,0.9510565162951538,0.28531695488854614,0.2915855050086975,0.40535855293273926
0.3,2.0106192982974673,0.3,1.0,7,0.9048270524660197,0.2714481157398059,0.29749077558517456,0.15501537919044495
0.32,2.1362830044410592,0.3,1.0,7,0.8443279255020152,0.25329837765060453,0.29870885610580444,-0.09753403067588806
0.34,2.261946710584651,0.3,1.0,7,0.7705132427757893,0.23115397283273675,0.29521459341049194,-0.34883928298950195
0.36000000000000004,2.387610416728243,0.3,1.0,7,0.6845471059286885,0.20536413177860655,0.2870637774467468,-0.594521701335907
0.38000000000000006,2.513274122871835,0.3,1.0,7,0.5877852522924728,0.17633557568774183,0.27438753843307495,-0.8309721350669861
0.4000000000000001,2.638937829015427,0.3,1.0,7,0.4817536741017148,0.14452610223051443,0.2573816180229187,-1.0541949272155762
0.4200000000000001,2.7646015351590187,0.3,1.0,7,0.3681245526846773,0.11043736580540318,0.23632055521011353,-1.2610814571380615
0.4400000000000001,2.8902652413026106,0.3,1.0,7,0.24868988716485396,0.07460696614945618,0.21152830123901367,-1.4477750062942505
0.46000000000000013,3.0159289474462025,0.3,1.0,7,0.1253332335643032,0.03759997006929096,0.18340140581130981,-1.6117581129074097
0.48000000000000015,3.1415926535897944,0.3,1.0,7,-1.2098029496354525e-15,-3.6294088489063575e-16,0.15237993001937866,-1.7502050399780273
0.5000000000000001,3.2672563597333864,0.3,1.0,7,-0.12533323356430562,-0.03759997006929169,0.11895519495010376,-1.8610496520996094
0.5200000000000001,3.3929200658769783,0.3,1.0,7,-0.2486898871648563,-0.07460696614945689,0.08416694402694702,-1.9189468622207642
0.5400000000000001,3.51858377202057,0.3,1.0,7,-0.3681245526846796,-0.11043736580540388,0.04760599136352539,-1.9962270259857178
0.5600000000000002,3.644247478164162,0.3,1.0,7,-0.48175367410171693,-0.14452610223051507,0.01019817590713501,-2.023571252822876
0.5800000000000002,3.769911184307754,0.3,1.0,7,-0.5877852522924748,-0.17633557568774244,-0.027687489986419678,-2.0131072998046875
0.6000000000000002,3.895574890451346,0.3,1.0,7,-0.6845471059286903,-0.20536413177860707,-0.06488305330276489,-1.959646224975586
0.6200000000000002,4.021238596594937,0.3,1.0,7,-0.7705132427757905,-0.23115397283273714,-0.10096114873886108,-1.8828716278076172
0.6400000000000002,4.146902302738529,0.3,1.0,7,-0.8443279255020162,-0.25329837765060487,-0.1354272961616516,-1.7780070304870605
0.6600000000000003,4.272566008882121,0.3,1.0,7,-0.9048270524660205,-0.27144811573980615,-0.1677524447441101,-1.6455477476119995
0.6800000000000003,4.398229715025713,0.3,1.0,7,-0.9510565162951543,-0.2853169548885463,-0.19743376970291138,-1.487046480178833
0.7000000000000003,4.523893421169305,0.3,1.0,7,-0.9822872507286892,-0.29468617521860674,-0.22399944067001343,-1.3052680492401123
0.7200000000000003,4.649557127312897,0.3,1.0,7,-0.9980267284282718,-0.29940801852848153,-0.23500007390975952,-1.121888857369413e-07
0.7400000000000003,4.775220833456489,0.3,1.0,7,-0.9980267284282713,-0.29940801852848137,-0.23500007390975952,6.556896892107034e-08
0.7600000000000003,4.900884539600081,0.3,1.0,7,-0.982287250728688,-0.2946861752186064,-0.23500007390975952,1.7986796052582577e-08
0.7800000000000004,5.0265482457436725,0.3,1.0,7,-0.9510565162951525,-0.28531695488854575,-0.23500007390975952,1.2202095334146179e-08
0.8000000000000004,5.152211951887264,0.3,1.0,7,-0.904827052466018,-0.2714481157398054,-0.23500007390975952,-2.574331858795631e-08
0.8200000000000004,5.277875658030856,0.3,1.0,7,-0.8443279255020131,-0.2532983776506039,-0.23500007390975952,8.831910491835515e-08
