time_s,phase,amp_rad,freq_hz,motor_idx,signal,command_rad,actual_rad
2.0549999817376374e-06,1.291194569150824e-05,0.3,1.0,1,1.2911945691149465e-05,3.873583707344839e-06,0.01182213668322929
0.0192833950000022,0.12116114413655413,0.3,1.0,1,0.1208649202547937,0.03625947607643811,0.01182213668322929
0.038359736000018074,0.2410213296226014,0.3,1.0,1,0.2386945585264558,0.07160836755793673,0.01182213668322929
0.057412170000020524,0.36073130299742556,0.3,1.0,1,0.3529585631676779,0.10588756895030337,0.01182213668322929
0.0764347890000181,0.48025394320228554,0.3,1.0,1,0.4620044069807522,0.13860132209422565,0.01182213668322929
0.09549835199999279,0.6000338421462189,0.3,1.0,1,0.5646704042002495,0.16940112126007484,0.01182213668322929
0.1145533039999691,0.7197596365814823,0.3,1.0,1,0.6592039463302619,0.19776118389907857,0.08607796304080628
0.13358031199999232,0.8393098536868167,0.3,1.0,1,0.744182295661514,0.2232546886984542,0.08607796304080628
0.15259891199997355,0.9588072417698245,0.3,1.0,1,0.818506915059177,0.2455520745177531,0.08607796304080628
0.17160825399997748,1.078246460123401,0.3,1.0,1,0.8811299582603526,0.26433898747810575,0.16604577604127368
0.1906117990000098,1.1976492548519302,0.3,1.0,1,0.9311847007944519,0.27935541023833554,0.23458961575596005
0.20961528800000906,1.3170516977218745,0.3,1.0,1,0.967979194660497,0.29039375839814907,0.23458961575596005
0.22861681400001999,1.436441806699134,0.3,1.0,1,0.9909880001128837,0.2972964000338651,0.23458961575596005
0.2476250450000066,1.5558740444337253,0.3,1.0,1,0.9998886648105488,0.2999665994431646,0.2517255756846316
0.2666281449999701,1.6752740431443605,0.3,1.0,1,0.9945471661778044,0.2983641498533413,0.2745735222561937
0.28566313400000354,1.7948744063516955,0.3,1.0,1,0.9749993790991559,0.29249981372974676,0.2745735222561937
0.3046781609999698,1.9143493446135067,0.3,1.0,1,0.9415638318098373,0.28246914954295116,0.2745735222561937
0.3236834090000116,2.0337628396066734,0.3,1.0,1,0.8947315789931335,0.26841947369794006,0.2745735222561937
0.342688843000019,2.1531775032720915,0.3,1.0,1,0.8351553380700443,0.25054660142101326,0.28028550889908443
0.3617131099999824,2.272710498166123,0.3,1.0,1,0.7636076437734304,0.2290822931320291,0.28028550889908443
0.38072245199998633,2.3921497165196994,0.3,1.0,1,0.6812310575365772,0.20436931726097315,0.26314954897041265
0.39975721899998007,2.511748684859647,0.3,1.0,1,0.5890186732129947,0.17670560196389842,0.2745735222561937
0.4187753559999692,2.6312431638279072,0.3,1.0,1,0.4884822323331234,0.146544669699937,0.2517255756846316
0.4378134199999977,2.7508628478300308,0.3,1.0,1,0.38086331777508514,0.11425899533252554,0.2517255756846316
0.4568239270000163,2.8703093860945823,0.3,1.0,1,0.2679679925901565,0.08039039777704696,0.16604577604127368
0.47583749099999295,2.9897751320563546,0.3,1.0,1,0.1512349973842246,0.04537049921526738,0.1431978294697116
