time_s,phase,amp_rad,freq_hz,motor_idx,signal,command_rad,actual_rad
2.221999977791711e-06,1.3961237613014245e-05,0.3,1.0,2,1.39612376125607e-05,4.1883712837682094e-06,0.7960258098883328
0.01928137599998081,0.12114845838528453,0.3,1.0,2,0.12085232749350501,0.0362556982480515,0.7846018366025518
0.03830828700000666,0.24069806602166058,0.3,1.0,2,0.23838062649207076,0.07151418794762122,0.7846018366025518
0.05735948900002086,0.36040029851226013,0.3,1.0,2,0.35264884314721473,0.10579465294416442,0.7846018366025518
0.07636155300002656,0.4797937878431821,0.3,1.0,2,0.4615962565884437,0.1384788769765331,0.7846018366025518
0.09538094700002375,0.599296164775424,0.3,1.0,2,0.564061433307702,0.1692184299923106,0.7846018366025518
0.11437930800002505,0.7186663874711259,0.3,1.0,2,0.6583814683638975,0.19751444050916925,0.7846018366025518
0.1333941290000098,0.8381400313968799,0.3,1.0,2,0.743400372747034,0.2230201118241102,0.9331134893177057
0.1523873250000065,0.9574778014404413,0.3,1.0,2,0.8177424329156383,0.24532272987469148,0.9331134893177057
0.1713834270000234,1.0768338304206322,0.3,1.0,2,0.8804610832031419,0.2641383249609425,0.9331134893177057
0.19037888200000452,1.1961857941797045,0.3,1.0,2,0.9306502025407873,0.2791950607622362,1.0073693156752825
0.20938379699998677,1.3155971968717899,0.3,1.0,2,0.9676130468948383,0.2902839140684515,1.0302172622468446
0.22837156800000002,1.4349008806351637,0.3,1.0,2,0.9907804155794037,0.2972341246738211,1.0302172622468446
0.24736006099999486,1.5542091008582137,0.3,1.0,2,0.9998624351219944,0.2999587305365983,1.0302172622468446
0.26634364799997456,1.6734864957740516,0.3,1.0,2,0.9947319964164724,0.2984195989249417,1.0473532221755164
0.28535263600002736,1.7929234898803363,0.3,1.0,2,0.9754310318016381,0.29262930954049143,1.0473532221755164
0.30434088900000233,1.9122302021387878,0.3,1.0,2,0.9422755176223515,0.28268265528670544,1.0587771954612974
0.323345823000011,2.03164172421156,0.3,1.0,2,0.8956768647845661,0.2687030594353698,1.0530652088184067
0.3423308530000213,2.150928185763988,0.3,1.0,2,0.8363903807723542,0.25091711423170626,1.0530652088184067
