time_s,phase,amp_rad,freq_hz,motor_idx,signal,command_rad,actual_rad,actual_vel
0.0,0.12566370614359174,0.3,1.0,9,0.12533323356430426,0.03759997006929128,-0.00020575523376464844,4.8552359658060595e-05
0.02,0.25132741228718347,0.3,1.0,9,0.2486898871648548,0.07460696614945643,-0.00020587444305419922,0.0012991405092179775
0.04,0.3769911184307752,0.3,1.0,9,0.368124552684678,0.11043736580540339,0.00026786327362060547,0.23613715171813965
0.06,0.5026548245743669,0.3,1.0,9,0.4817536741017153,0.1445261022305146,0.017014622688293457,0.9810012578964233
0.08,0.6283185307179586,0.3,1.0,9,0.5877852522924731,0.17633557568774194,0.0441364049911499,1.3541738986968994
0.1,0.7539822368615503,0.3,1.0,9,0.6845471059286886,0.20536413177860657,0.07581257820129395,1.5126123428344727
0.12000000000000001,0.879645943005142,0.3,1.0,9,0.7705132427757891,0.23115397283273673,0.10890471935272217,1.5522712469100952
0.14,1.0053096491487337,0.3,1.0,9,0.844327925502015,0.2532983776506045,0.14157307147979736,1.526591420173645
0.16,1.1309733552923253,0.3,1.0,9,0.9048270524660195,0.2714481157398058,0.17259514331817627,1.4553216695785522
0.18,1.256637061435917,0.3,1.0,9,0.9510565162951535,0.285316954888546,0.2011955976486206,1.3523378372192383
0.19999999999999998,1.3823007675795087,0.3,1.0,9,0.9822872507286886,0.29468617521860657,0.2267765998840332,1.2253671884536743
0.21999999999999997,1.5079644737231004,0.3,1.0,9,0.9980267284282716,0.2994080185284815,0.24877607822418213,1.0802695751190186
0.23999999999999996,1.633628179866692,0.3,1.0,9,0.9980267284282716,0.2994080185284815,0.26680469512939453,0.9137670993804932
0.25999999999999995,1.7592918860102837,0.3,1.0,9,0.9822872507286887,0.2946861752186066,0.2803680896759033,0.622909665107727
0.27999999999999997,1.8849555921538754,0.3,1.0,9,0.9510565162951538,0.28531695488854614,0.28935706615448,0.32823050022125244
0.3,2.0106192982974673,0.3,1.0,9,0.9048270524660197,0.2714481157398059,0.29370415210723877,0.032032717019319534
0.32,2.1362830044410592,0.3,1.0,9,0.8443279255020152,0.25329837765060453,0.2933681011199951,-0.2712537348270416
0.34,2.261946710584651,0.3,1.0,9,0.7705132427757893,0.23115397283273675,0.2888702154159546,-0.4320918023586273
0.36000000000000004,2.387610416728243,0.3,1.0,9,0.6845471059286885,0.20536413177860655,0.2798198461532593,-0.6088511347770691
0.38000000000000006,2.513274122871835,0.3,1.0,9,0.5877852522924728,0.17633557568774183,0.2663283348083496,-0.7826127409934998
0.4000000000000001,2.638937829015427,0.3,1.0,9,0.4817536741017148,0.14452610223051443,0.2487010955810547,-0.9505490660667419
0.4200000000000001,2.7646015351590187,0.3,1.0,9,0.3681245526846773,0.11043736580540318,0.22720980644226074,-1.1070239543914795
0.4400000000000001,2.8902652413026106,0.3,1.0,9,0.24868988716485396,0.07460696614945618,0.20214033126831055,-1.2532966136932373
0.46000000000000013,3.0159289474462025,0.3,1.0,9,0.1253332335643032,0.03759997006929096,0.173866868019104,-1.3874964714050293
0.48000000000000015,3.1415926535897944,0.3,1.0,9,-1.2098029496354525e-15,-3.6294088489063575e-16,0.1428009271621704,-1.494864821434021
0.5000000000000001,3.2672563597333864,0.3,1.0,9,-0.12533323356430562,-0.03759997006929169,0.10948812961578369,-1.5972803831100464
0.5200000000000001,3.3929200658769783,0.3,1.0,9,-0.2486898871648563,-0.07460696614945689,0.07437443733215332,-1.661700963973999
0.5400000000000001,3.51858377202057,0.3,1.0,9,-0.3681245526846796,-0.11043736580540388,0.03809976577758789,-1.7130275964736938
0.5600000000000002,3.644247478164162,0.3,1.0,9,-0.48175367410171693,-0.14452610223051507,0.0011063814163208008,-1.7359439134597778
0.5800000000000002,3.769911184307754,0.3,1.0,9,-0.5877852522924748,-0.17633557568774244,-0.035820960998535156,-1.722886085510254
0.6000000000000002,3.895574890451346,0.3,1.0,9,-0.6845471059286903,-0.20536413177860707,-0.07223987579345703,-1.7013404369354248
