time_s,phase,amp_rad,freq_hz,motor_idx,signal,command_rad,actual_rad,actual_vel
1.0400000000000005,53.28141140488294,0.3,8.0,4,0.1253332335642598,0.037599970069277934,-0.10737287998199463,8.246476173400879
1.0600000000000005,54.28672105403167,0.3,8.0,4,-0.7705132427758187,-0.23115397283274558,0.07648056745529175,10.491781234741211
1.0800000000000005,55.29203070318041,0.3,8.0,4,-0.9510565162951389,-0.28531695488854164,0.221360981464386,4.012897968292236
1.1000000000000005,56.297340352329144,0.3,8.0,4,-0.24868988716480736,-0.0746069661494422,0.13214939832687378,-7.228865146636963
1.1200000000000006,57.30265000147788,0.3,8.0,4,0.6845471059287254,0.2053641317786176,-0.04855543375015259,-10.498810768127441
1.1400000000000006,58.307959650626614,0.3,8.0,4,0.982287250728679,0.2946861752186037,-0.21755313873291016,-5.455807685852051
1.1600000000000006,59.31326929977535,0.3,8.0,4,0.36812455268462857,0.11043736580538857,-0.14663898944854736,5.569819927215576
1.1800000000000006,60.318578948924085,0.3,8.0,4,-0.5877852522925172,-0.17633557568775515,0.024567127227783203,10.496244430541992
1.2000000000000006,61.32388859807282,0.3,8.0,4,-0.998026728428268,-0.29940801852848037,0.21045970916748047,6.695383548736572
1.2200000000000006,62.329198247221555,0.3,8.0,4,-0.4817536741016651,-0.14452610223049953,0.1754329800605774,-4.840207099914551
1.2400000000000007,63.33450789637029,0.3,8.0,4,0.48175367410176667,0.14452610223053,0.005595386028289795,-10.498887062072754
1.2600000000000007,64.33981754551903,0.3,8.0,4,0.9980267284282753,0.2994080185284826,-0.19238346815109253,-8.227505683898926
1.2800000000000007,65.34512719466775,0.3,8.0,4,0.5877852522924292,0.17633557568772876,-0.1904674768447876,3.422412633895874
1.3000000000000007,66.35043684381648,0.3,8.0,4,-0.3681245526847231,-0.11043736580541692,-0.028969526290893555,10.492692947387695
1.3200000000000007,67.35574649296521,0.3,8.0,4,-0.9822872507286967,-0.294686175218609,0.17195361852645874,9.355525016784668
1.3400000000000007,68.36105614211394,0.3,8.0,4,-0.6845471059286616,-0.2053641317785985,0.2035844326019287,-1.8726677894592285
1.3600000000000008,69.36636579126267,0.3,8.0,4,0.24868988716488521,0.07460696614946556,0.05010950565338135,-10.497136116027832
1.3800000000000008,70.3716754404114,0.3,8.0,4,0.9510565162951615,0.28531695488854847,-0.15045380592346191,-10.062956809997559
1.4000000000000008,71.37698508956012,0.3,8.0,4,0.7705132427757765,0.23115397283273292,-0.21276122331619263,0.3984273076057434
1.4200000000000008,72.38229473870885,0.3,8.0,4,-0.12533323356431836,-0.0375999700692955,-0.0697638988494873,9.996672630310059
1.4400000000000008,73.38760438785758,0.3,8.0,4,-0.9048270524660231,-0.27144811573980693,0.12647104263305664,10.488997459411621
1.4600000000000009,74.3929140370063,0.3,8.0,4,-0.8443279255020136,-0.2532983776506041,0.21840649843215942,1.094161033630371
1.4800000000000009,75.39822368615503,0.3,8.0,4,-2.9391523179536475e-15,-8.817456953860942e-16,0.08728408813476562,-9.231228828430176
1.5000000000000009,76.40353333530376,0.3,8.0,4,0.8443279255020104,0.2532983776506031,-0.10388308763504028,-10.499343872070312
1.520000000000001,77.40884298445249,0.3,8.0,4,0.9048270524660257,0.2714481157398077,-0.222429096698761,-2.5861599445343018
1.540000000000001,78.41415263360122,0.3,8.0,4,0.1253332335643242,0.03759997006929725,-0.10738414525985718,8.247024536132812
1.560000000000001,79.41946228274995,0.3,8.0,4,-0.7705132427757727,-0.2311539728327318,0.07662332057952881,10.474959373474121
1.580000000000001,80.42477193189868,0.3,8.0,4,-0.9510565162951633,-0.28531695488854897,0.2213793396949768,4.010626316070557
1.600000000000001,81.4300815810474,0.3,8.0,4,-0.2486898871648909,-0.07460696614946727,0.13216924667358398,-7.227595329284668
1.620000000000001,82.43539123019613,0.3,8.0,4,0.6845471059286573,0.2053641317785972,-0.048538923263549805,-10.498784065246582
1.640000000000001,83.44070087934486,0.3,8.0,4,0.9822872507286978,0.29468617521860935,-0.21754783391952515,-5.456234931945801
1.660000000000001,84.44601052849359,0.3,8.0,4,0.3681245526847286,0.11043736580541857,-0.14663904905319214,5.569808483123779
1.680000000000001,85.45132017764232,0.3,8.0,4,-0.5877852522924244,-0.17633557568772731,0.024917781352996826,10.497668266296387
1.700000000000001,86.45662982679104,0.3,8.0,4,-0.9980267284282757,-0.2994080185284827,0.21064376831054688,6.68233585357666
1.720000000000001,87.46193947593977,0.3,8.0,4,-0.48175367410177805,-0.14452610223053342,0.17547392845153809,-4.8439106941223145
1.740000000000001,88.4672491250885,0.3,8.0,4,0.4817536741016475,0.14452610223049425,0.005623221397399902,-10.499673843383789
1.7600000000000011,89.47255877423723,0.3,8.0,4,0.9980267284282663,0.29940801852847987,-0.19236356019973755,-8.228693008422852
1.7800000000000011,90.47786842338596,0.3,8.0,4,0.587785252292545,0.17633557568776348,-0.190463125705719,3.4220712184906006
1.8000000000000012,91.48317807253468,0.3,8.0,4,-0.3681245526845901,-0.11043736580537702,-0.028709590435028076,10.492847442626953
1.8200000000000012,92.48848772168341,0.3,8.0,4,-0.9822872507286698,-0.29468617521860097,0.17209488153457642,9.348321914672852
1.8400000000000012,93.49379737083214,0.3,8.0,4,-0.6845471059287659,-0.20536413177862975,0.20356804132461548,-1.872847318649292
1.8600000000000012,94.49910701998087,0.3,8.0,4,0.2486898871647466,0.07460696614942398,0.0500759482383728,-10.497392654418945
1.8800000000000012,95.5044166691296,0.3,8.0,4,0.9510565162951173,0.2853169548885352,-0.15049612522125244,-10.061714172363281
1.9000000000000012,96.50972631827833,0.3,8.0,4,0.7705132427758677,0.23115397283276032,-0.212771475315094,0.3993014991283417
1.9200000000000013,97.51503596742705,0.3,8.0,4,-0.12533323356417642,-0.037599970069252926,-0.0698925256729126,9.985015869140625
1.9400000000000013,98.52034561657578,0.3,8.0,4,-0.9048270524659622,-0.27144811573978866,0.12642449140548706,10.483920097351074
1.9600000000000013,99.52565526572451,0.3,8.0,4,-0.8443279255020902,-0.25329837765062707,0.2183353304862976,1.1127568483352661
1.9800000000000013,100.53096491487324,0.3,8.0,4,-1.4602741690929156e-13,-4.3808225072787466e-14,0.0874137282371521,-9.215106964111328
2.0000000000000013,101.53627456402197,0.3,8.0,4,0.8443279255019338,0.2532983776505801,-0.103671133518219,-10.499296188354492
2.0200000000000014,102.5415842131707,0.3,8.0,4,0.9048270524660865,0.27144811573982597,-0.2223682403564453,-2.591108560562134
2.0400000000000014,103.54689386231942,0.3,8.0,4,0.12533323356446616,0.03759997006933984,-0.1073651909828186,8.246037483215332
2.0600000000000014,104.55220351146815,0.3,8.0,4,-0.7705132427756816,-0.23115397283270445,0.07690900564193726,10.489303588867188
2.0800000000000014,105.55751316061688,0.3,8.0,4,-0.9510565162952075,-0.28531695488856224,0.2215549349784851,4.010746479034424
2.1000000000000014,106.5628228097656,0.3,8.0,4,-0.2486898871650295,-0.07460696614950885,0.13212019205093384,-7.220564365386963
2.1200000000000014,107.56813245891433,0.3,8.0,4,0.6845471059285531,0.2053641317785659,-0.04850280284881592,-10.498807907104492
2.1400000000000015,108.57344210806306,0.3,8.0,4,0.9822872507287246,0.29468617521861734,-0.21753573417663574,-5.457200050354004
2.1600000000000015,109.57875175721179,0.3,8.0,4,0.3681245526848616,0.11043736580545847,-0.1466391682624817,5.569820404052734
2.1800000000000015,110.58406140636052,0.3,8.0,4,-0.5877852522923087,-0.17633557568769262,0.024861037731170654,10.497620582580566
2.2000000000000015,111.58937105550925,0.3,8.0,4,-0.9980267284282847,-0.29940801852848536,0.21060878038406372,6.684748649597168
2.2200000000000015,112.59468070465797,0.3,8.0,4,-0.48175367410190345,-0.14452610223057102,0.17544865608215332,-4.841393947601318
2.2400000000000015,113.5999903538067,0.3,8.0,4,0.4817536741015221,0.14452610223045662,0.0056324005126953125,-10.499065399169922
2.2600000000000016,114.60530000295543,0.3,8.0,4,0.9980267284282573,0.2994080185284772,-0.19236093759536743,-8.228830337524414
2.2800000000000016,115.61060965210416,0.3,8.0,4,0.5877852522926608,0.17633557568779823,-0.19046235084533691,3.4220104217529297
2.3000000000000016,116.61591930125289,0.3,8.0,4,-0.36812455268445704,-0.11043736580533711,-0.02849268913269043,10.497811317443848
2.3200000000000016,117.62122895040162,0.3,8.0,4,-0.9822872507286431,-0.2946861752185929,0.17225724458694458,9.341099739074707
2.3400000000000016,118.62653859955034,0.3,8.0,4,-0.6845471059288702,-0.20536413177866106,0.20366311073303223,-1.8794156312942505
2.3600000000000017,119.63184824869907,0.3,8.0,4,0.24868988716460802,0.0746069661493824,0.05009627342224121,-10.497408866882324
2.3800000000000017,120.6371578978478,0.3,8.0,4,0.951056516295073,0.2853169548885219,-0.15045881271362305,-10.062828063964844
2.4000000000000017,121.64246754699653,0.3,8.0,4,0.7705132427759589,0.23115397283278766,-0.21276229619979858,0.3985171318054199
2.4200000000000017,122.64777719614526,0.3,8.0,4,-0.12533323356403445,-0.037599970069210335,-0.06971520185470581,9.981378555297852
2.4400000000000017,123.65308684529398,0.3,8.0,4,-0.9048270524659013,-0.2714481157397704,0.1265711784362793,10.48171329498291
2.4600000000000017,124.65839649444271,0.3,8.0,4,-0.844327925502167,-0.25329837765065005,0.21843582391738892,1.1093336343765259
2.4800000000000018,125.66370614359144,0.3,8.0,4,-2.891156815006295e-13,-8.673470445018884e-14,0.087374746799469,-9.236371040344238
2.5000000000000018,126.66901579274017,0.3,8.0,4,0.8443279255018571,0.2532983776505571,-0.10377782583236694,-10.499332427978516
2.520000000000002,127.6743254418889,0.3,8.0,4,0.9048270524661475,0.27144811573984423,-0.22239893674850464,-2.5886194705963135
2.540000000000002,128.67963509103762,0.3,8.0,4,0.12533323356460813,0.037599970069382434,-0.10737502574920654,8.246228218078613
2.560000000000002,129.68494474018635,0.3,8.0,4,-0.7705132427755903,-0.23115397283267708,0.0763975977897644,10.492620468139648
2.580000000000002,130.69025438933508,0.3,8.0,4,-0.9510565162952518,-0.2853169548885755,0.22133535146713257,4.01548433303833
2.600000000000002,131.6955640384838,0.3,8.0,4,-0.24868988716516807,-0.07460696614955042,0.13216376304626465,-7.22712516784668
2.620000000000002,132.70087368763254,0.3,8.0,4,0.6845471059284487,0.2053641317785346,-0.04854172468185425,-10.498794555664062
2.640000000000002,133.70618333678127,0.3,8.0,4,0.9822872507287514,0.29468617521862545,-0.21754872798919678,-5.456157684326172
2.660000000000002,134.71149298593,0.3,8.0,4,0.36812455268499467,0.1104373658054984,-0.1466391682624817,5.569822311401367
2.680000000000002,135.71680263507872,0.3,8.0,4,-0.5877852522921929,-0.17633557568765787,0.02489835023880005,10.496509552001953
