step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,joint_pos_0,joint_pos_rel_0,action_1,joint_pos_1,joint_pos_rel_1,action_2,joint_pos_2,joint_pos_rel_2,action_3,joint_pos_3,joint_pos_rel_3,action_4,joint_pos_4,joint_pos_rel_4,action_5,joint_pos_5,joint_pos_rel_5,action_6,joint_pos_6,joint_pos_rel_6,action_7,joint_pos_7,joint_pos_rel_7,action_8,joint_pos_8,joint_pos_rel_8,action_9,joint_pos_9,joint_pos_rel_9,action_10,joint_pos_10,joint_pos_rel_10,action_11,joint_pos_11,joint_pos_rel_11
10,0.2,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.044332623,-0.0020595193,0.073189616,0.04352925,-0.042761326,0.0063456297,-0.008437696,0.0622918,0.0017743111,0.01441413,0.09524536,0.023203135,0.37058997,-0.19306117,0.49561742,0.31895158,-0.22345568,0.13162193,0.029084662,0.460082,0.030341148,0.15563715,0.68180925,0.123649366,0.19254537,-0.8149835,-0.2792589,-0.044676926,0.30842742,0.25911832,0.41635078,-0.04911821,0.12883106,0.14096905,-0.18555896,-0.21503222,0.12887767,-0.1271645,0.12347775,0.091611564,-0.049122952,0.054220837,0.04360048,0.13334091,0.022993391,0.054302827,0.1873586,0.019926839,0.13839513,0.052262757,0.052262757,-0.16421054,0.7769307,-0.008069336,0.11702313,-1.4875469,0.08245313,0.09707079,0.049895357,0.049895357,-0.047125787,0.7384144,-0.04658562,0.058403723,-1.5604452,0.009554863,0.062820345,-0.0067542233,-0.0067542233,0.13787465,0.8564587,0.0714587,0.02920125,-1.5672743,0.0027257204,0.0626276,0.017925357,0.017925357,0.18873702,0.8935298,0.10852975,0.01279393,-1.5448538,0.025146246
11,0.22,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.052262757,-0.008069336,0.08245313,0.049895357,-0.04658562,0.009554863,-0.0067542233,0.0714587,0.0027257204,0.017925357,0.10852975,0.025146246,0.39650673,-0.30049178,0.4631734,0.31830534,-0.19121496,0.16046172,0.08417364,0.4583437,0.04756981,0.17556138,0.66421825,0.09715321,0.14192571,-0.9643852,-0.44634286,-0.09543276,0.36820954,0.2365472,0.51409984,-0.14530203,0.15483204,0.14530346,-0.3576696,-0.2858061,0.13839513,-0.16421054,0.11702313,0.09707079,-0.047125787,0.058403723,0.062820345,0.13787465,0.02920125,0.0626276,0.18873702,0.01279393,0.14354129,0.06054879,0.06054879,-0.19982362,0.7684935,-0.016506553,0.11025011,-1.4792709,0.09072912,0.104286484,0.05617162,0.05617162,-0.044280954,0.73536634,-0.04963368,0.061133284,-1.5567247,0.013275385,0.081912376,-0.0037752625,-0.0037752625,0.14258522,0.86540097,0.080400944,0.03488938,-1.5659336,0.0040664673,0.072584674,0.021866592,0.021866592,0.18946265,0.906109,0.12110895,0.0060256515,-1.5435771,0.026422977
12,0.24,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.06054879,-0.016506553,0.09072912,0.05617162,-0.04963368,0.013275385,-0.0037752625,0.080400944,0.0040664673,0.021866592,0.12110895,0.026422977,0.4143016,-0.42185944,0.41379786,0.31381306,-0.15240264,0.1860272,0.14894804,0.4471109,0.06703475,0.19706169,0.62895924,0.063834675,0.057673592,-1.0664274,-0.59776914,-0.1317124,0.42148113,0.19743177,0.5904928,-0.23482373,0.17120734,0.15466563,-0.52023685,-0.34306315,0.14354129,-0.19982362,0.11025011,0.104286484,-0.044280954,0.061133284,0.081912376,0.14258522,0.03488938,0.072584674,0.18946265,0.0060256515,0.142982,0.06894234,0.06894234,-0.23119459,0.75748426,-0.027515769,0.104137205,-1.4722761,0.09772396,0.11360259,0.06231488,0.06231488,-0.038769513,0.7332384,-0.051761627,0.06265571,-1.552588,0.017412066,0.09895893,0.00062333536,0.00062333536,0.14682844,0.87393296,0.08893293,0.03972218,-1.5641828,0.005817294,0.084062204,0.026277842,0.026277842,0.18931088,0.9176456,0.13264555,0.00047774613,-1.5430641,0.026935935
13,0.26,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.06894234,-0.027515769,0.09772396,0.06231488,-0.051761627,0.017412066,0.00062333536,0.08893293,0.005817294,0.026277842,0.13264555,0.026935935,0.41967747,-0.5504619,0.34974197,0.3071631,-0.10639645,0.20683599,0.2199299,0.4265988,0.087538406,0.22056252,0.5768293,0.025644928,-0.06504129,-1.1010306,-0.72311324,-0.1509093,0.47881156,0.14518026,0.6312027,-0.31964585,0.17560409,0.16761065,-0.67030036,-0.37991333,0.142982,-0.23119459,0.104137205,0.11360259,-0.038769513,0.06265571,0.09895893,0.14682844,0.03972218,0.084062204,0.18931088,0.00047774613,0.13630563,0.07711233,0.07711233,-0.25553384,0.7439322,-0.04106784,0.09975026,-1.4667889,0.103211164,0.12490581,0.06831457,0.06831457,-0.02940058,0.73219925,-0.052800775,0.063238695,-1.5481527,0.021847367,0.11207711,0.0064679934,0.0064679934,0.15040635,0.88187575,0.09687573,0.043327786,-1.5620303,0.007969737,0.096465826,0.031197965,0.031197965,0.18802696,0.9278236,0.14282358,-0.002962513,-1.5433592,0.026640892
14,0.28,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.07711233,-0.04106784,0.103211164,0.06831457,-0.052800775,0.021847367,0.0064679934,0.09687573,0.007969737,0.031197965,0.14282358,0.026640892,0.40849987,-0.6776024,0.27435982,0.29998443,-0.05195707,0.22176206,0.2922329,0.39713877,0.10762274,0.24600612,0.5089006,-0.014754672,-0.22347322,-1.0511625,-0.8125507,-0.15405953,0.54587644,0.08358431,0.62385195,-0.39872897,0.16588888,0.1794478,-0.805477,-0.3901695,0.13630563,-0.25553384,0.09975026,0.12490581,-0.02940058,0.063238695,0.11207711,0.15040635,0.043327786,0.096465826,0.18802696,-0.002962513,0.12387664,0.08466138,0.08466138,-0.27119315,0.7280586,-0.05694145,0.09800068,-1.4629513,0.10704875,0.13764645,0.07418451,0.07418451,-0.01582212,0.73244196,-0.052558064,0.06297689,-1.543554,0.026446104,0.11971555,0.013667293,0.013667293,0.15324599,0.88906085,0.10406083,0.04545524,-1.5595163,0.010483742,0.10885157,0.036650382,0.036650382,0.18541537,0.9363541,0.15135407,-0.0040067267,-1.5444492,0.025550842
15,0.3,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.08466138,-0.05694145,0.10704875,0.07418451,-0.052558064,0.026446104,0.013667293,0.10406083,0.010483742,0.036650382,0.15135407,0.025550842,0.37745225,-0.7936802,0.19188009,0.2934969,0.012135461,0.22993724,0.359965,0.35925364,0.12570082,0.27262092,0.42652473,-0.054502446,-0.40871137,-0.9106884,-0.8587284,-0.1454972,0.6221452,0.015407461,0.5602752,-0.47035018,0.14124593,0.18342659,-0.9234153,-0.37267756,0.12387664,-0.27119315,0.09800068,0.13764645,-0.01582212,0.06297689,0.11971555,0.15324599,0.04545524,0.10885157,0.18541537,-0.0040067267,0.106384166,0.09114811,0.09114811,-0.2766563,0.7102871,-0.07471293,0.099609144,-1.4608086,0.10919142,0.15117234,0.07995281,0.07995281,0.0020944327,0.7341798,-0.05082023,0.061649296,-1.5389429,0.03105712,0.12106084,0.022005977,0.022005977,0.15518792,0.8953324,0.11033237,0.046056382,-1.5567114,0.013288617,0.12075783,0.042636342,0.042636342,0.18103687,0.9429765,0.15797645,-0.0024486128,-1.5462629,0.023737192
16,0.32,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.09114811,-0.07471293,0.10919142,0.07995281,-0.05082023,0.03105712,0.022005977,0.11033237,0.013288617,0.042636342,0.15797645,0.023737192,0.32433638,-0.8885732,0.10713312,0.2884153,0.08689157,0.23054872,0.41693422,0.31357798,0.14024615,0.29929796,0.33111823,-0.090679556,-0.6092251,-0.6773552,-0.85712785,-0.13035269,0.70528996,-0.05858611,0.43927795,-0.53359616,0.102694176,0.17656453,-1.0238807,-0.32769752,0.106384166,-0.2766563,0.099609144,0.15117234,0.0020944327,0.061649296,0.12106084,0.15518792,0.046056382,0.12075783,0.18103687,-0.0024486128,0.08404361,0.096103616,0.096103616,-0.26989093,0.6912556,-0.0937444,0.10462887,-1.46031,0.10969007,0.16503817,0.085654534,0.085654534,0.024467744,0.73764145,-0.047358572,0.058476932,-1.5344936,0.035506487,0.115454994,0.031144734,0.031144734,0.15537483,0.9005394,0.11553937,0.04563456,-1.553707,0.016293049,0.13171446,0.049128823,0.049128823,0.1748413,0.94746435,0.16246432,0.0017031003,-1.5486737,0.021326303
17,0.34,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.096103616,-0.0937444,0.10969007,0.085654534,-0.047358572,0.035506487,0.031144734,0.11553937,0.016293049,0.049128823,0.16246432,0.021326303,0.24777548,-0.951573,0.024934098,0.28508613,0.17308189,0.22246943,0.4569379,0.2603492,0.15022033,0.32462406,0.22439326,-0.1205432,-0.81661147,-0.34843722,-0.80924356,-0.11231698,0.7927543,-0.14114502,0.26249355,-0.59241086,0.05528599,0.15628794,-1.1044658,-0.25771672,0.08404361,-0.26989093,0.10462887,0.16503817,0.024467744,0.058476932,0.115454994,0.15537483,0.04563456,0.13171446,0.1748413,0.0017031003,0.056636304,0.0990422,0.0990422,-0.24768934,0.6718381,-0.11316192,0.11201476,-1.4613264,0.10867369,0.17887498,0.091325335,0.091325335,0.051373698,0.7430653,-0.04193473,0.051935256,-1.530418,0.039582014,0.102336116,0.040624816,0.040624816,0.15207374,0.9045153,0.1195153,0.04535704,-1.5505959,0.019404173,0.14100464,0.056063943,0.056063943,0.16755821,0.94964135,0.16464132,0.00837481,-1.5515066,0.018493414
18,0.36,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0990422,-0.11316192,0.10867369,0.091325335,-0.04193473,0.039582014,0.040624816,0.1195153,0.019404173,0.056063943,0.16464132,0.018493414,0.14692922,-0.9708757,-0.050820075,0.2835402,0.27119154,0.20377572,0.47400406,0.19879733,0.15555467,0.34675598,0.10884852,-0.14164454,-1.0253996,0.08345151,-0.72513145,-0.09447945,0.88161623,-0.239508,0.03384441,-0.6564094,0.00850738,0.11891582,-1.1581948,-0.1662886,0.056636304,-0.24768934,0.11201476,0.17887498,0.051373698,0.051935256,0.102336116,0.15207374,0.04535704,0.14100464,0.16755821,0.00837481,0.023326032,0.09946364,0.09946364,-0.20533574,0.6531804,-0.1318196,0.119696505,-1.4636855,0.10631454,0.19203442,0.09699141,0.09699141,0.08147279,0.7506738,-0.034326255,0.039273486,-1.5269988,0.043001294,0.08088895,0.049872324,0.049872324,0.14168975,0.9070331,0.12203306,0.04662741,-1.54745,0.022550106,0.1468465,0.06331868,0.06331868,0.16151117,0.9494173,0.16441727,0.017365178,-1.5545462,0.015453815
19,0.38,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.09946364,-0.1318196,0.10631454,0.09699141,-0.034326255,0.043001294,0.049872324,0.12203306,0.022550106,0.06331868,0.16441727,0.015453815,0.02107206,-0.93288296,-0.11795593,0.28330386,0.38042247,0.17096174,0.4623755,0.12588762,0.15729478,0.36273688,-0.011203863,-0.15198019,-1.234266,0.6320163,-0.6222178,-0.081631735,0.95957536,-0.36813444,-0.24296002,-0.7468474,-0.027059581,0.054407187,-1.1685746,-0.058321647,0.023326032,-0.20533574,0.119696505,0.19203442,0.08147279,0.039273486,0.08088895,0.14168975,0.04662741,0.1468465,0.16151117,0.017365178,-0.015922494,0.09686707,0.09686707,-0.13922967,0.63671225,-0.14828777,0.1247352,-1.4672185,0.102781534,0.20346826,0.1026543,0.1026543,0.10994943,0.76060003,-0.024399996,0.017907098,-1.5246149,0.045385122,0.050970975,0.058215063,0.058215063,0.12058521,0.9077617,0.12276167,0.050472315,-1.5443044,0.025695682,0.1479101,0.07069712,0.07069712,0.15937287,0.94682616,0.16182613,0.028767379,-1.5575428,0.012457252
